step,elapsed_s,reward,cumulative_reward,terminated,truncated,tilt_deg,root_ball_offset_m,foot_ball_contacts,ball_speed_mps,action_abs_mean,action_abs_max
19,0.38,0.11457687296926693,2.1418756988871066,False,False,1.0996730652973554,0.004488180989920344,2,0.04237553902073049,0.3569391667842865,2.3553528785705566
20,0.4,0.11638485204540513,2.2582605509325115,False,False,0.9841711342738791,0.004951969889074254,2,0.02271693202182275,0.3868110179901123,2.2729806900024414
21,0.42,0.11167432382024141,2.369934874752753,False,False,0.9512103883226252,0.005480063873575716,2,0.015583511339530783,0.4051888883113861,2.2960009574890137
22,0.44,0.10598741368655408,2.4759222884393073,False,False,1.037031562507285,0.005867797335202329,2,0.017864443732279585,0.40007829666137695,2.28857159614563
23,0.46,0.1054638340977641,2.5813861225370713,False,False,1.0179873586974608,0.0061685125134595675,2,0.03547332886490661,0.4425210654735565,2.2319023609161377
24,0.48,0.11073191479523305,2.6921180373323046,False,False,0.8120471935566739,0.006326584194947622,1,0.08132476807249274,0.4402918517589569,2.20847749710083
25,0.5,0.11516625736664587,2.8072842946989507,False,False,0.5074485881219329,0.005977276199064667,1,0.13284120338216857,0.3833898603916168,2.1317355632781982
26,0.52,0.11337789662807544,2.9206621913270263,False,False,0.6815623667284526,0.0061175191162682495,1,0.14537365382631323,0.40197959542274475,2.164456605911255
27,0.54,0.11411995087060343,3.0347821421976295,False,False,1.6494819281252784,0.007108251338128661,2,0.0816878341814394,0.37831631302833557,2.1136012077331543
28,0.56,0.11497233461740669,3.149754476815036,False,False,1.9662263139383926,0.0077923602929300916,1,0.06592013528040955,0.34305423498153687,2.0300114154815674
29,0.58,0.10914330020609138,3.2588977770211276,False,False,1.8879261317887222,0.007851222112997555,2,0.038162998830764086,0.3281189799308777,1.9613873958587646
30,0.6,0.1081699813589818,3.3670677583801094,False,False,1.6308688157302291,0.007142961930062276,2,0.046661984302071226,0.3336496353149414,1.9214940071105957
31,0.62,0.10636161146646443,3.4734293698465737,False,False,1.0978921625229319,0.006169783221729012,2,0.04536641299046841,0.34333714842796326,1.818520188331604
32,0.64,0.10835178155949977,3.5817811514060733,False,False,0.6094145734388644,0.005769622678356381,2,0.02633337496435026,0.3582878112792969,1.6859287023544312
33,0.66,0.11010562310952175,3.691886774515595,False,False,0.5417637366534014,0.0060372344958600326,2,0.03726735304355011,0.36507028341293335,1.6462091207504272
34,0.68,0.1134962687445461,3.805383043260141,False,False,0.7548514795779888,0.006781425157438497,2,0.04816121135827594,0.3501615822315216,1.6343460083007812
35,0.7000000000000001,0.11191319020224448,3.9172962334623858,False,False,0.8967843660563569,0.007532277886746343,2,0.03128239292542066,0.3180951476097107,1.6786941289901733
36,0.72,0.11538368600530835,4.032679919467694,False,False,0.8471909430260578,0.008058127537597364,2,0.020216085847848675,0.3598495423793793,1.6156080961227417
37,0.74,0.10632206000872317,4.139001979476417,False,False,0.518887711314536,0.008400013071005815,2,0.029972410729471294,0.3973037600517273,1.6379413604736328
38,0.76,0.10414492687890167,4.243146906355318,False,False,0.31775185295763164,0.008564131963358096,2,0.04202095951536454,0.38736000657081604,1.571080207824707
39,0.78,0.10316631843454507,4.3463132247898635,False,False,0.5370478917511367,0.008629912140666373,2,0.037261716457889504,0.40200090408325195,1.5462348461151123
40,0.8,0.10561051074083473,4.451923735530698,False,False,0.7835965923822574,0.008642331468543972,2,0.05044753397326612,0.4596993923187256,1.565914511680603
41,0.8200000000000001,0.11025083075601158,4.56217456628671,False,False,0.9614411901291956,0.007828037544195476,1,0.11256981911506427,0.4136638939380646,1.5601375102996826
