run_id,update,env_steps,loss,policy_loss,value_loss,approx_kl,entropy,gradient_norm,epochs_completed,kl_early_stop,reward,reward_status
local,16,16384,1.376734733581543,-0.02081964537501335,1.1053965091705322,0.007699650712311268,-29.21579360961914,40.81951141357422,5,0.0,,not_recorded_in_source_summary
local,17,17408,1.7038264274597168,-0.00831947848200798,1.4199912548065186,0.009953783825039864,-29.21546173095703,138.89144897460938,5,0.0,,not_recorded_in_source_summary
local,18,18432,1.717341661453247,-0.009374149143695831,1.4345653057098389,0.01688217744231224,-29.215055465698242,98.60208892822266,5,0.0,,not_recorded_in_source_summary
local,19,19456,1.7021679878234863,-0.017408126965165138,1.4274365901947021,0.011396126821637154,-29.213947296142578,55.31216812133789,5,0.0,,not_recorded_in_source_summary
local,20,20480,1.3653923273086548,-0.012853649444878101,1.0861194133758545,0.025049705058336258,-29.2126522064209,89.9554214477539,4,1.0,,not_recorded_in_source_summary
local,21,21504,1.7229890823364258,-0.00871947593986988,1.4395976066589355,0.0188680961728096,-29.21108627319336,139.6541290283203,5,0.0,,not_recorded_in_source_summary
local,22,22528,1.7120438814163208,-0.010424543172121048,1.4303689002990723,0.014508227817714214,-29.209945678710938,194.52304077148438,5,0.0,,not_recorded_in_source_summary
local,23,23552,1.720990777015686,0.001644900068640709,1.4272503852844238,0.028574898838996887,-29.209552764892578,228.31004333496094,2,1.0,,not_recorded_in_source_summary
local,24,24576,1.3417304754257202,-0.00963606871664524,1.0592771768569946,0.02429497055709362,-29.208932876586914,129.26065063476562,3,1.0,,not_recorded_in_source_summary
local,25,25600,1.7003178596496582,-0.015114491805434227,1.4233520030975342,0.0163259394466877,-29.20804214477539,166.7072296142578,5,0.0,,not_recorded_in_source_summary
local,26,26624,1.6908093690872192,-0.01414252258837223,1.4128801822662354,0.013423187658190727,-29.20716667175293,122.5232162475586,5,0.0,,not_recorded_in_source_summary
local,27,27648,1.7169512510299683,-0.003079719841480255,1.427964687347412,0.020482055842876434,-29.206634521484375,264.0097351074219,3,1.0,,not_recorded_in_source_summary
local,28,28672,1.3364657163619995,-0.018675878643989563,1.063079833984375,0.016144217923283577,-29.206180572509766,88.615234375,5,0.0,,not_recorded_in_source_summary
local,29,29696,1.6835492849349976,-0.010663293302059174,1.402153730392456,0.010706935077905655,-29.20587921142578,88.1762924194336,5,0.0,,not_recorded_in_source_summary
local,30,30720,1.698203444480896,-0.012183865532279015,1.4183299541473389,0.01721261441707611,-29.20574378967285,131.1486053466797,5,0.0,,not_recorded_in_source_summary
local,31,31744,1.694101333618164,-0.005816798657178879,1.407860517501831,0.020760629326105118,-29.20577049255371,191.29054260253906,3,1.0,,not_recorded_in_source_summary
local,32,32768,1.3645923137664795,-0.01803646609187126,1.0905743837356567,0.01754123345017433,-29.20543670654297,105.5102767944336,5,0.0,,not_recorded_in_source_summary
local,33,33792,1.7199760675430298,-0.0015822537243366241,1.4295114278793335,0.021281789988279343,-29.204694747924805,227.46372985839844,4,1.0,,not_recorded_in_source_summary
local,34,34816,1.699486255645752,-0.01345294713973999,1.4209017753601074,0.01228124275803566,-29.203744888305664,57.20057678222656,5,0.0,,not_recorded_in_source_summary
local,35,35840,1.6922416687011719,-0.01555616781115532,1.4157696962356567,0.008072073571383953,-29.202823638916016,70.70882415771484,5,0.0,,not_recorded_in_source_summary
local,36,36864,1.400784969329834,-0.015297613106667995,1.12406587600708,0.01215673703700304,-29.20167350769043,119.15918731689453,5,0.0,,not_recorded_in_source_summary
local,37,37888,1.683030605316162,-0.007671789266169071,1.3986952304840088,0.01815292239189148,-29.200716018676758,124.83403778076172,5,0.0,,not_recorded_in_source_summary
local,38,38912,1.6920815706253052,-0.009543968364596367,1.4096258878707886,0.012480649165809155,-29.19997215270996,103.62507629394531,5,0.0,,not_recorded_in_source_summary
local,39,39936,1.709848403930664,-0.01484808512032032,1.432705044746399,0.011618501506745815,-29.199146270751953,113.30054473876953,5,0.0,,not_recorded_in_source_summary
local,40,40960,1.506044864654541,-0.004506099969148636,1.218565583229065,0.022236403077840805,-29.198537826538086,157.2362518310547,3,1.0,,not_recorded_in_source_summary
local,41,41984,1.6825809478759766,-0.01661786437034607,1.4072256088256836,0.008963413536548615,-29.19731903076172,67.96505737304688,5,0.0,,not_recorded_in_source_summary
local,42,43008,1.6827319860458374,-0.01685442589223385,1.4076268672943115,0.01705135777592659,-29.195953369140625,117.60762023925781,5,0.0,,not_recorded_in_source_summary
local,43,44032,1.657713770866394,0.0014685224741697311,1.364290475845337,0.031274452805519104,-29.195476531982422,226.83355712890625,2,1.0,,not_recorded_in_source_summary
local,44,45056,1.6372177600860596,-0.01028004102408886,1.35555100440979,0.01537697296589613,-29.19467544555664,209.56985473632812,5,0.0,,not_recorded_in_source_summary
local,45,46080,1.6857750415802002,-0.014532549306750298,1.4083664417266846,0.008239137940108776,-29.194124221801758,49.93849182128906,5,0.0,,not_recorded_in_source_summary
