phase,env_steps,steps,seconds,mean_reward,mean_raw_return,returns,lengths,optimizer_steps,mean_loss,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance
collection,4608,512,0.2895851250505075,7.431512758135796,,,,,,,,,,,
update,4608,512,0.08379795798100531,,,,,8,1044.7202377319336,0.019503980642184615,1044.7007217407227,-29.224507570266724,0.027079355088062584,0.572265625,0.0009635696370101643
episodes,4660,,,,1335.2006618380547,[1335.2006618380547],[192],,,,,,,,
episodes,4856,,,,3689.710672736168,[3689.710672736168],[523],,,,,,,,
collection,5120,512,0.2798062920337543,6.787106102448888,,,,,,,,,,,
update,5120,512,0.06950725009664893,,,,,8,919.9303436279297,0.02131748606916517,919.9090270996094,-29.2241153717041,0.1035533266258426,0.515625,0.021496508299714945
episodes,5584,,,,4498.987902767956,[4498.987902767956],[618],,,,,,,,
collection,5632,512,0.2846626250538975,7.169881161549711,,,,,,,,,,,
update,5632,512,0.06497329100966454,,,,,8,983.1385650634766,0.16291268332861364,982.9756393432617,-29.22381901741028,0.10243994963821024,0.4873046875,0.012928762104137514
episodes,6112,,,,4549.812572836876,[4549.812572836876],[632],,,,,,,,
collection,6144,512,0.25339791690930724,7.182593513978645,,,,,,,,,,,
update,6144,512,0.052578958915546536,,,,,8,995.8040008544922,0.011624639853835106,995.7923812866211,-29.223613262176514,0.04619097273098305,0.4521484375,0.015390858788055684
episodes,6600,,,,3506.6022260794416,[3506.6022260794416],[485],,,,,,,,
collection,6656,512,0.2480429579736665,7.206533988590309,,,,,,,,,,,
update,6656,512,0.05070875003002584,,,,,8,982.7453308105469,0.011001628125086427,982.7343292236328,-29.223336935043335,0.0433294169488363,0.46484375,0.015670086435447095
episodes,6804,,,,3466.01263320446,[3466.01263320446],[487],,,,,,,,
collection,7168,512,0.2641507500084117,7.166258509969339,,,,,,,,,,,
update,7168,512,0.05588137498125434,,,,,8,977.2112503051758,0.014026874909177423,977.1972427368164,-29.223140716552734,0.0759592573158443,0.494140625,0.010639489942406821
episodes,7340,,,,2180.342625617981,[2180.342625617981],[307],,,,,,,,
episodes,7580,,,,1360.2968299686909,[1360.2968299686909],[194],,,,,,,,
collection,7680,512,0.26331454201135784,7.004233815299813,,,,,,,,,,,
update,7680,512,0.053285624948330224,,,,,8,925.7171936035156,0.017705357866361737,925.6994857788086,-29.22306251525879,0.07679170405026525,0.5166015625,0.02166253067678836
episodes,7860,,,,4091.05946290493,[4091.05946290493],[569],,,,,,,,
episodes,8072,,,,318.19003999233246,[318.19003999233246],[53],,,,,,,,
episodes,8160,,,,1420.2866934537888,[1420.2866934537888],[205],,,,,,,,
collection,8192,512,0.27412037493195385,6.971126467222348,,,,,,,,,,,
update,8192,512,0.05648812500294298,,,,,8,894.9733657836914,0.02489037939812988,894.948486328125,-29.22313952445984,0.04402039526030421,0.46484375,0.014919141336970032
collection,8704,512,0.25352999998722225,7.612690938170999,,,,,,,,,,,
update,8704,512,0.05489825003314763,,,,,8,1068.878433227539,0.01596403308212757,1068.8624420166016,-29.223093032836914,0.03998066863277927,0.5791015625,0.005111752075022347
episodes,8732,,,,1119.2041226625443,[1119.2041226625443],[165],,,,,,,,
collection,9216,512,0.2475799999665469,7.717014510883018,,,,,,,,,,,
update,9216,512,0.05296483403071761,,,,,8,1088.3322372436523,0.011377915972843766,1088.3208618164062,-29.22298502922058,0.03460209642071277,0.4921875,-0.005282076382602474
collection,9728,512,0.2633510419400409,7.827766232192516,,,,,,,,,,,
update,9728,512,0.05403691693209112,,,,,8,1100.2869873046875,0.0054433392360806465,1100.2815551757812,-29.222808361053467,0.0219335030997172,0.484375,-0.022267743910531657
episodes,9892,,,,4201.323202919215,[4201.323202919215],[578],,,,,,,,
episodes,10208,,,,495.3336375951767,[495.3336375951767],[79],,,,,,,,
collection,10240,512,0.2720868330216035,7.35475113652501,,,,,,,,,,,
update,10240,512,0.05336837493814528,,,,,8,977.4009552001953,0.0007348970975726843,977.4002151489258,-29.22257685661316,0.08371344825718552,0.44921875,0.0022070947213529424
episodes,10300,,,,3891.135826945305,[3891.135826945305],[535],,,,,,,,
episodes,10600,,,,8253.515214443207,[8253.515214443207],[1000],,,,,,,,
collection,10752,512,0.2611182500841096,7.42141390661709,,,,,,,,,,,
update,10752,512,0.05510399991180748,,,,,8,995.3512649536133,0.002360028214752674,995.3489074707031,-29.222419500350952,0.04521357058547437,0.423828125,0.007641471274138167
episodes,10900,,,,490.5250295251608,[490.5250295251608],[75],,,,,,,,
episodes,11144,,,,351.1258000135422,[351.1258000135422],[61],,,,,,,,
episodes,11192,,,,4473.199627399445,[4473.199627399445],[615],,,,,,,,
collection,11264,512,0.2782887499779463,6.956129956495715,,,,,,,,,,,
update,11264,512,0.055388833046890795,,,,,8,885.3273544311523,0.004704986233264208,885.3226470947266,-29.2223482131958,0.033466026303358376,0.4287109375,0.035313439301274396
episodes,11760,,,,2350.5379354022443,[2350.5379354022443],[365],,,,,,,,
collection,11776,512,0.27070087497122586,6.653339993492409,,,,,,,,,,,
update,11776,512,0.061760625103488564,,,,,8,899.6181793212891,0.012795941205695271,899.6053848266602,-29.222299575805664,0.047792866826057434,0.4140625,0.02933441956491656
episodes,11972,,,,1459.9243925213814,[1459.9243925213814],[207],,,,,,,,
episodes,12288,,,,489.89950229227543,[489.89950229227543],[79],,,,,,,,
collection,12288,512,0.25757699995301664,7.154918304324383,,,,,,,,,,,
update,12288,512,0.06309295806568116,,,,,8,961.0175704956055,-0.0041681628208607435,961.0217361450195,-29.222331523895264,0.023157726624049246,0.380859375,0.0323555693784241
episodes,12424,,,,4001.557125799358,[4001.557125799358],[554],,,,,,,,
episodes,12616,,,,2594.153925381601,[2594.153925381601],[356],,,,,,,,
collection,12800,512,0.25664908392354846,7.12397351526306,,,,,,,,,,,
update,12800,512,0.053371084039099514,,,,,8,929.3717422485352,0.005855577648617327,929.3658905029297,-29.222477197647095,0.055126605613622814,0.4580078125,0.0020847794607409265
collection,13312,512,0.23404654196929187,7.426218053646153,,,,,,,,,,,
update,13312,512,0.05377650004811585,,,,,8,1034.9048614501953,-0.002337642014026642,1034.9071884155273,-29.22248339653015,0.01943134516477585,0.412109375,0.007412195338196592
episodes,13328,,,,1238.2566973417997,[1238.2566973417997],[178],,,,,,,,
collection,13824,512,0.24758341698907316,7.244571551302215,,,,,,,,,,,
update,13824,512,0.05714258295483887,,,,,8,1009.3365097045898,0.004597191116772592,1009.3319091796875,-29.22253155708313,0.021129110304173082,0.3408203125,0.02939955718331122
episodes,13832,,,,835.5826137512922,[835.5826137512922],[126],,,,,,,,
episodes,14304,,,,3360.761603757739,[3360.761603757739],[470],,,,,,,,
episodes,14328,,,,841.267954364419,[841.267954364419],[124],,,,,,,,
collection,14336,512,0.2704084999859333,7.109062122064643,,,,,,,,,,,
update,14336,512,0.05047787504736334,,,,,8,974.358772277832,0.011775129707530141,974.3469848632812,-29.22245454788208,0.029629281139932573,0.4130859375,0.022050161265536605
collection,14848,512,0.2493396250065416,7.697780673392117,,,,,,,,,,,
update,14848,512,0.050838458933867514,,,,,8,1077.1788330078125,0.005756733473390341,1077.1730728149414,-29.222473621368408,0.010967736190650612,0.41796875,-0.02826859578088725
episodes,15108,,,,1414.6749472022057,[1414.6749472022057],[201],,,,,,,,
collection,15360,512,0.22891945799347013,7.718024472589605,,,,,,,,,,,
update,15360,512,0.05011200008448213,,,,,8,1050.9413986206055,0.010682007879950106,1050.9307403564453,-29.22251558303833,0.03285006299847737,0.4560546875,-0.004290576085860476
episodes,15760,,,,7584.971932888031,[7584.971932888031],[1000],,,,,,,,
collection,15872,512,0.2488666659919545,8.068697452545166,,,,,,,,,,,
update,15872,512,0.05106574995443225,,,,,8,1102.3266143798828,0.0025177299976348877,1102.3240966796875,-29.222578763961792,0.013833362550940365,0.474609375,-0.033025770676844646
episodes,16064,,,,1712.5724073648453,[1712.5724073648453],[239],,,,,,,,
episodes,16232,,,,819.8384333848953,[819.8384333848953],[118],,,,,,,,
episodes,16288,,,,8232.567471981049,[8232.567471981049],[1000],,,,,,,,
episodes,16308,,,,373.3281148225069,[373.3281148225069],[61],,,,,,,,
collection,16384,512,0.26753824995830655,7.40507967598387,,,,,,,,,,,
update,16384,512,0.053550041979178786,,,,,8,901.3285903930664,-0.000357468263246119,901.3289489746094,-29.222583055496216,0.052884987904690206,0.3291015625,0.02504100612897464
episodes,16544,,,,396.5284111201763,[396.5284111201763],[64],,,,,,,,
episodes,16560,,,,364.414091642946,[364.414091642946],[63],,,,,,,,
collection,16896,512,0.25459562498144805,7.479691876615107,,,,,,,,,,,
